Predicted_Temperature_C,Actual_Temperature_C
14.54310921816699,14.8
17.22845701912034,17.7
13.511503137714776,13.4
12.55761449294365,13.2
5.557404505674107,6.5
8.485651787898071,9.5
5.135409858481566,6.1
14.997325571512405,14.1
13.58201722472301,14.6
8.27772773981144,7.7
-0.995898467539412,-0.9
9.724760695430007,11.3
11.626702723871595,10.0
9.355890771440833,9.7
1.2660973833482672,2.5
16.64207980910728,16.1
7.310765771022162,8.4
23.016877203344862,22.2
-3.7511151897571295,-2.6
3.8654775405428623,4.3
10.179115943201495,11.1
1.8552668920269824,2.4
7.942282309784723,8.5
11.501826741487662,12.3
10.85635887580073,11.8
2.855061685377052,3.9
19.655981916349653,18.6
8.399731156411015,7.9
14.451076323572124,15.3
8.814168083338139,9.2
1.8336581938194882,2.7
10.80453302558908,10.2
10.070563569521816,10.2
3.787646641553515,4.1
11.192817187756006,11.9
-14.121761474959662,-16.4
-8.929921851749683,-11.2
9.403708046898423,8.2
-3.2651241367385353,-4.2
5.212054466455264,4.5
5.597874184824896,5.5
6.3048341144004425,6.5
7.73516529007216,9.0
6.515377060537055,7.0
1.1798704837538665,2.3
7.807662217258297,10.2
6.8333533188429385,7.0
6.691124428732849,7.3
14.079758934528002,14.5
10.178062734776354,11.6
21.797312998029724,21.4
0.3824236766774547,-0.4
17.46611885813489,17.7
13.849242122994355,12.8
3.7264092005041576,4.2
-0.04069875192939065,0.7
18.158293777706746,17.9
10.194683500288775,11.0
14.16526556894835,15.2
11.945432120992287,11.9
10.140711261503505,10.6
17.238461104874297,16.4
3.0035516904135164,3.0
23.271033458803704,22.2
6.148415553188279,7.4
17.403211708923187,17.9
7.634382299674627,7.7
19.07625479863936,19.5
12.811679473288592,13.5
17.991891944877814,17.8
2.4577385110663883,2.0
10.547043340195017,10.0
16.152940629625554,16.2
18.612393709016565,18.6
17.88859426491515,16.7
5.248449095078463,5.5
17.527941861506427,16.6
2.099789403547909,2.7
10.574851689461205,10.5
15.632678982855829,15.7
13.9424775712071,14.0
17.38261538206259,17.5
13.59251525016716,14.2
14.064846251504868,14.9
5.837749930487128,7.2
11.091131607619907,12.4
17.21000986817696,16.2
8.580204805818887,9.7
9.883343396012734,10.5
12.48176403837256,12.7
7.810264656886027,10.2
3.419710828418495,4.2
18.32889153605028,17.2
16.79156967862123,16.7
6.340734794549036,7.2
11.685746314547387,12.7
4.714684501961756,6.2
6.026443504728576,7.2
9.481652879542374,8.9
-2.1769954286742816,-1.2
6.113634041094507,6.0
8.433976867888866,9.0
6.36317724450992,6.4
15.482794705685436,15.3
10.429509513106531,9.1
10.701284020167442,11.5
12.602776477916912,12.9
9.79682974844632,10.5
5.683939157800083,5.1
6.739310668391013,7.7
16.066304874453024,15.5
14.91811707764392,14.7
29.42654413450942,28.5
7.6631947677462975,8.0
5.681483195553952,7.2
11.14856150352442,11.3
11.188371786066462,12.2
16.432893097848755,16.1
8.666577825254016,8.6
12.42636991343727,12.1
10.998742411528553,11.2
19.857247906757237,19.7
7.446331521331814,7.5
12.504967527448102,13.0
15.826966517243548,15.4
12.215535610225025,12.5
11.995912235352002,12.2
23.458191678070804,23.3
3.378388037674135,4.8
6.700191186056095,7.4
5.061868047296521,6.0
13.68208745472883,14.5
8.538003223877318,7.3
8.371991490085101,9.9
10.788787731551963,9.8
13.439045571872406,14.2
13.385950447671512,13.2
17.073400006132147,17.5
9.987065229530451,9.7
2.923396354840108,3.5
26.51718223859737,25.9
13.116342847658501,13.5
6.586057444916548,8.0
26.627478655962378,26.1
9.76838536036282,10.6
8.968223512094589,9.9
5.971350820507695,6.2
3.7135230365003054,3.7
17.256882623694196,15.8
16.75642848916692,17.4
21.489912857101338,20.5
-0.009869826874052023,1.0
11.59688718750865,10.8
7.161786134770935,8.8
8.525875150974727,9.9
5.007867879174462,5.9
4.9179634568884865,5.8
3.6797576741795552,4.4
7.642360471006796,7.7
15.822660625697758,16.4
10.846033602793554,10.4
10.076191480099752,10.1
7.595762381550266,7.0
2.0077032223558433,2.5
10.896447232201226,12.1
17.7093655353656,17.3
15.751082282149028,16.2
9.81418244179283,10.6
15.97607073470381,16.5
6.9478136329912985,7.6
3.9488634949995216,5.1
17.450313615036777,18.0
2.880630931210007,3.0
14.727068621259967,14.2
1.953942058246085,2.9
17.025089198843467,17.1
18.105748580855085,18.8
21.083372291158867,20.9
9.814199389837512,11.3
4.3969507308855995,3.9
15.586089600407227,14.3
12.156275705641598,10.9
11.128187237509017,11.5
16.611563465855845,16.4
10.810997238477611,11.9
7.089813463661201,5.7
8.162980121822976,8.5
28.401438097295422,28.4
8.460698116198095,9.1
21.304996220353367,20.5
18.596668775167863,19.1
16.47899392352715,16.0
